id,name,bic,l10n_id_bi_code
res_bank_0140397,"PT. BANK CENTRAL ASIA, TBK",CENAIDJA,0140397
res_bank_0360300,"PT. BANK CHINA CONSTRUCTION BANK INDONESIA, TBK",MCORIDJA,0360300
res_bank_0220026,PT. BANK CIMB NIAGA TBK,BNIAIDJA,0220026
res_bank_0229920,PT. BANK CIMB NIAGA TBK - UNIT USAHA SYARIAH,SYNAIDJ1,0229920
res_bank_9490307,PT. BANK CTBC INDONESIA,CTCBIDJA,9490307
res_bank_0110042,PT. BANK DANAMON INDONESIA Tbk.,BDINIDJA,0110042
res_bank_0119920,PT. BANK DANAMON INDONESIA UNIT USAHA SYARIAH,SYBDIDJ1,0119920
res_bank_0460307,PT. BANK DBS INDONESIA,DBSBIDJA,0460307
res_bank_1110012,PT. BANK DKI,BDKIIDJ1,1110012
res_bank_1119916,PT. BANK DKI UNIT USAHA SYARIAH,SYDKIDJ1,1119916
res_bank_1610017,PT. BANK GANESHA,GNESIDJA,1610017
res_bank_5530012,PT. BANK HIBANK INDONESIA,HBNIIDJA,5530012
res_bank_0870010,PT. BANK HSBC INDONESIA,HSBCIDJA,0870010
res_bank_1640016,PT. BANK ICBC INDONESIA,ICBKIDJA,1640016
res_bank_5130014,"PT. BANK INA PERDANA, Tbk",IAPTIDJA,5130014
res_bank_4250018,PT. BANK JABAR BANTEN SYARIAH,SYJBIDJ1,4250018
res_bank_5429903,PT. BANK JAGO TBK UNIT USAHA SYARIAH,SYATIDJ1,5429903
res_bank_5420012,"PT. BANK JAGO, Tbk",JAGBIDJA,5420012
res_bank_0950011,"PT. BANK JTRUST INDONESIA, TBK",CICTIDJA,0950011
res_bank_4410010,PT. BANK KB INDONESIA Tbk.,BBUKIDJA,4410010
res_bank_4840017,PT. BANK KEB HANA INDONESIA,HNBNIDJA,4840017
res_bank_0080017,PT. BANK MANDIRI (PERSERO) TBK,BMRIIDJA,0080017
res_bank_5640012,PT. BANK MANDIRI TASPEN,SIHBIDJ1,5640012
res_bank_1570018,PT. BANK MASPION,MASDIDJ1,1570018
res_bank_0970017,PT. BANK MAYAPADA Tbk.,MAYAIDJA,0970017
res_bank_0160131,PT. BANK MAYBANK INDONESIA Tbk.,IBBKIDJA,0160131
res_bank_0169925,PT. BANK MAYBANK INDONESIA Tbk. UNIT USAHA SYARIAH,SYBKIDJ1,0169925
res_bank_5060016,PT. BANK MEGA SYARIAH,BUTGIDJ1,5060016
res_bank_4260121,PT. BANK MEGA Tbk.,MEGAIDJA,4260121
res_bank_1510010,PT. BANK MESTIKA DHARMA,MEDHIDS1,1510010
res_bank_0480303,PT. BANK MIZUHO INDONESIA,MHCCIDJA,0480303
res_bank_4850010,"PT. BANK MNC INTERNASIONAL, TBK",BUMIIDJA,4850010
res_bank_1470011,PT. BANK MUAMALAT INDONESIA,MUABIDJA,1470011
res_bank_5480010,PT. BANK MULTIARTA SENTOSA TBK,BMSEIDJA,5480010
res_bank_1180013,PT. BANK NAGARI,PDSBIDJ1,1180013
res_bank_1189920,PT. BANK NAGARI - UNIT USAHA SYARIAH,SYSBIDJ1,1189920
res_bank_2530015,PT. BANK NANO SYARIAH,NANOIDJ1,2530015
res_bank_5030017,PT. BANK NATIONALNOBU,LFIBIDJ1,5030017
res_bank_0090010,PT. BANK NEGARA INDONESIA (PERSERO),BNINIDJA,0090010
res_bank_4900012,"PT. BANK NEO COMMERCE, TBK",YUDBIDJ1,4900012
res_bank_0280024,"PT. BANK OCBC NISP, Tbk.",NISPIDJA,0280024
res_bank_1460047,"PT. BANK OF INDIA INDONESIA, TBK",BKIDIDJA,1460047
res_bank_5260010,"PT. BANK OKE INDONESIA, TBK",LMANIDJ1,5260010
res_bank_5170016,PT. BANK PANIN DUBAI SYARIAH,ARFAIDJ1,5170016
res_bank_1100323,PT. BANK PEMBANGUNAN DAERAH JABAR DAN BANTEN,PDJBIDJA,1100323
res_bank_1140383,PT. BANK PEMBANGUNAN DAERAH JATIM,PDJTIDJ1,1140383
res_bank_1290013,PT. BANK PEMBANGUNAN DAERAH BALI,ABALIDBS,1290013
res_bank_1370014,PT. BANK PEMBANGUNAN DAERAH BANTEN,PDBBIDJ1,1370014
res_bank_1120015,PT. BANK PEMBANGUNAN DAERAH DIY,PDYKIDJ1,1120015
res_bank_1159918,PT. BANK PEMBANGUNAN DAERAH JAMBI UUS,SYJMIDJ1,1159918
res_bank_1139938,PT. BANK PEMBANGUNAN DAERAH JATENG UNIT USAHA SYAR,SYJGIDJ1,1139938
