tmpl_xid,attribute,value
tmpl_000H0_0025,Size,XXL
tmpl_000H0_0026,Size,L
tmpl_000H0_0026,Size,M
tmpl_000H0_0026,Size,S
tmpl_000H0_0026,Size,XL
tmpl_000H0_0026,Size,XS
tmpl_000H0_0026,Size,XXL
tmpl_000H0_0034,Size,L
tmpl_000H0_0034,Size,M
tmpl_000H0_0034,Size,S
tmpl_000H0_0034,Size,XL
tmpl_000H0_0034,Size,XS
tmpl_000H0_0035,Size,L
tmpl_000H0_0035,Size,M
tmpl_000H0_0035,Size,S
tmpl_000H0_0035,Size,XL
tmpl_000H0_0035,Size,XS
tmpl_000H0_0035,Size,XXL
tmpl_000H0_0036,Size,2XL
tmpl_000H0_0036,Size,3XL
tmpl_000H0_0036,Size,L
tmpl_000H0_0036,Size,M
tmpl_000H0_0036,Size,S
tmpl_000H0_0036,Size,XL
tmpl_000H0_0036,Size,XS
tmpl_000H0_0036,Size,XXL
tmpl_000H0_0036,Size,XXS
tmpl_000H0_0037,Size,2XL
tmpl_000H0_0037,Size,3XL
tmpl_000H0_0037,Size,L
tmpl_000H0_0037,Size,M
tmpl_000H0_0037,Size,S
tmpl_000H0_0037,Size,XL
tmpl_000H0_0037,Size,XS
tmpl_000H0_0037,Size,XXL
tmpl_000H0_0037,Size,XXS
tmpl_000H0_0038,Size,2XL
tmpl_000H0_0038,Size,3XL
tmpl_000H0_0038,Size,L
tmpl_000H0_0038,Size,M
tmpl_000H0_0038,Size,S
tmpl_000H0_0038,Size,XL
tmpl_000H0_0038,Size,XS
tmpl_000H0_0038,Size,XXL
tmpl_000H0_0038,Size,XXS
tmpl_000H0_0045,Size,2XL
tmpl_000H0_0045,Size,3XL
tmpl_000H0_0045,Size,L
tmpl_000H0_0045,Size,M
tmpl_000H0_0045,Size,S
tmpl_000H0_0045,Size,XL
tmpl_000H0_0045,Size,XS
tmpl_000H0_0045,Size,XXL
tmpl_000H0_0045,Size,XXS
tmpl_000H0_0047,Size,2XL
tmpl_000H0_0047,Size,3XL
tmpl_000H0_0047,Size,L
tmpl_000H0_0047,Size,M
tmpl_000H0_0047,Size,S
tmpl_000H0_0047,Size,XL
tmpl_000H0_0047,Size,XS
tmpl_000H0_0047,Size,XXL
tmpl_000H0_0047,Size,XXS
tmpl_000H0_0048,Size,2XL
tmpl_000H0_0048,Size,3XL
tmpl_000H0_0048,Size,L
tmpl_000H0_0048,Size,M
tmpl_000H0_0048,Size,S
tmpl_000H0_0048,Size,XL
tmpl_000H0_0048,Size,XS
tmpl_000H0_0048,Size,XXL
tmpl_000H0_0048,Size,XXS
