code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-AIM-0045,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0046,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0047,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0048,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0049,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0050,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0051,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0052,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0053,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0054,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0055,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0056,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0057,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0058,1,Damoda Battery Measurment Device,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-AIM-0059,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0060,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0061,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0062,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0063,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0064,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0065,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0066,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0067,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0068,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0069,1,Damoda Base Radio PC Connector,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-AIM-0070,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0071,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0072,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0073,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0074,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0075,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0076,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0077,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0078,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0079,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0080,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0081,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0082,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0083,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0084,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0085,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0086,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0087,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0088,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0089,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0090,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0091,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0092,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0093,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0094,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0095,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0096,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0097,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0098,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0099,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0100,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0101,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0102,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0103,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0104,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
AS-AIM-0105,1,Damoda Drone Propeller,PT AIM,Komponen Drone,Unregistered Asset,2025-06-18,114090.0,0.0,0.0,0,
